"quote","4"
"isnt","4"
"porn","4"
"close","4"
"couple","4"
"fave","4"
"act","4"
"kick","4"
"those","4"
"book","4"
"shot","4"
"crying","4"
"bout","4"
"joy","4"
"stupid","4"
"national","4"
"dear","4"
"awesome","4"
"party","4"
"views","4"
"corner","4"
"side","4"
"sign","4"
"son","4"
"sos","4"
"different","4"
"boo","4"
"box","4"
"boy","4"
"once","4"
"seconds","4"
"children","4"
"weather","4"
"wear","4"
"ugly","4"
"lovers","4"
"hair","4"
"hall","3"
"pics","3"
"tfb","3"
"left","3"
"violets","3"
"g","3"
"o","3"
"t","3"
"block","3"
"went","3"
"famous","3"
"biggest","3"
"christmas","3"
"jello","3"
"teacher","3"
"cry","3"
"beautiful","3"
"piss","3"
"probably","3"
"killing","3"
"purple","3"
"fashion","3"
"lie","3"
"kevin","3"
"dogs","3"
"page","3"
"teen","3"
"manage","3"
"enter","3"
"eyebrows","3"
"dat","3"
"shoutout","3"
"senior","3"
"mine","3"
"test","3"
"brown","3"
"month","3"
"title","3"
"ignore","3"
"babe","3"
"helping","3"
"jesus","3"
"doe","3"
"sewer","3"
"knows","3"
"main","3"
"met","3"
"due","3"
"tonights","3"
"quality","3"
"animal","3"
"fell","3"
"supports","3"
"star","3"
"needed","3"
"lord","3"
"apply","3"
"step","3"
"whole","3"
"loss","3"
"lost","3"
"enjoy","3"
"opinion","3"
"perfection","3"
"google","3"
"guess","3"
"learn","3"
"weird","3"
"official","3"
"leave","3"
"jail","3"
"bored","3"
"turtles","3"
"jake","3"
"special","3"
"family","3"
"told","3"
"shouldnt","3"
"release","3"
"nah","3"
"everytime","3"
"islam","3"
"dance","3"
"arlington","3"
"israel","3"
"happened","3"
"stuff","3"
"dick","3"
"halloween","3"
"letting","3"
"shine","3"
"headache","3"
"af","3"
"hurt","3"
"fly","3"
"interview","3"
"de","3"
"won","3"
"ff","3"
"ft","3"
"class","3"
"starbucks","3"
"gr","3"
"gt","3"
"practice","3"
"four","3"
"wtf","3"
"wwe","3"
"months","3"
"nd","3"
"code","3"
"pm","3"
"rn","3"
"pull","3"
"ty","3"
"rules","3"
"changed","3"
"fandom","3"
"gay","3"
"problem","3"
"obsessed","3"
"exist","3"
"north","3"
"own","3"
"origami","3"
"send","3"
"stories","3"
"groups","3"
"zayn","3"
"vancouver","3"
"list","3"
"child","3"
"coffee","3"
"lady","3"
"period","3"
"understand","3"
"coolest","3"
"monday","3"
"xxx","3"
"almost","3"
"lake","3"
"bush","3"
"lane","3"
"walk","3"
"thinks","3"
"actions","3"
"giving","3"
"refresh","3"
"thingy","3"
"basically","3"
"jacob","3"
"windows","3"
"youll","3"
"chris","3"
"confusing","3"
"miranda","3"
"absolutely","3"
"sounds","3"
"process","3"
"soooo","3"
"answer","3"
"questions","3"
"promise","3"
"hold","3"
"train","3"
"america","3"
"underground","3"
"ilysm","3"
"fine","3"
"seriously","3"
"film","3"
"mess","3"
"online","3"
"coming","3"
"hows","3"
"five","3"
"update","3"
"hopes","3"
"finger","3"
"fake","3"
"ninja","3"
"washington","3"
"trust","3"
"happiness","3"
"message","3"
"age","3"
"spot","3"
"aka","3"
"read","3"
"tattoos","3"
"looked","3"
"minute","3"
"thought","3"
"english","3"
"app","3"
"boho","3"
"taken","3"
"yourself","3"
"name","3"
"mouth","3"
"omfg","3"
"style","3"
"card","3"
"move","3"
"gets","3"
"bag","3"
"homecoming","3"
"bet","3"
"luke","3"
"contact","3"
"lucky","3"
"dinner","3"
"fresh","3"
"bit","3"
"sentence","3"
"sky","3"
"brought","3"
"thinking","3"
"office","3"
"amen","3"
"current","3"
"artists","3"
"idea","3"
"kid","3"
"kim","3"
"normal","3"
"ones","3"
"reach","3"
"weak","3"
"site","3"
"match","3"
"pretend","2"
"pick","2"
"legs","2"
"sake","2"
"role","2"
"roll","2"
"golf","2"
"commission","2"
"amys","2"
"l","2"
"witcha","2"
"v","2"
"tip","2"
"export","2"
"gona","2"
"sand","2"
"walked","2"
"watermelons","2"
"knolls","2"
"cheek","2"
"blocks","2"
"room","2"
"kenny","2"
"gosh","2"
"rainy","2"
"gained","2"
"considering","2"
"ctfu","2"
"anal","2"
"remix","2"
"tom","2"
"cheap","2"
"itunes","2"
"falafel","2"
"stayoffthetracks","2"
"upon","2"
"west","2"
"probz","2"
"adventure","2"
"chicken","2"
"caught","2"
"japan","2"
"concert","2"
"homie","2"
"leg","2"
"leo","2"
"lex","2"
"cares","2"
"each","2"
"labels","2"
"meits","2"
"muslim","2"
"kitchen","2"
"prayer","2"
"speech","2"
"quit","2"
"shoot","2"
"fixed","2"
"destiny","2"
"motivation","2"
"pain","2"
"purchase","2"
"disney","2"
"paid","2"
"studio","2"
"whoever","2"
"lonely","2"
"players","2"
"oomf","2"
"unknown","2"
"low","2"
"quick","2"
"checked","2"
